0,4.00008143245867
1.8,4.00116684884791
3.6,4.00377119479105
5.4,4.00552277296159
7.2,4.00258106373811
9,3.98947491935074
10.8,3.95956351532105
12.6,3.90527651527529
14.4,3.81997696375226
16.2,3.69911761322502
18,3.54194774399816
19.8,3.35194609823658
21.6,3.13698066475057
23.4,2.90687756932408
25.2,2.67189851391913
27,2.44072916390443
28.8,2.21994058760334
30.6,2.01362524328532
32.4,1.82382829255587
34.2,1.65115522578083
36,1.49511549702425
37.8,1.35475115020808
39.6,1.22869457085418
41.4,1.11561980911567
43.2,1.01411626913926
45,0.922824400576531
46.8,0.84064973269146
48.6,0.766416281705259
50.4,0.699250167452187
52.2,0.638225175353307
54,0.582659652289726
55.8,0.531888148111643
57.6,0.485355465174275
59.4,0.442542650802294
61.2,0.403022211059954
63,0.366395480835971
64.8,0.332370310816542
66.6,0.300610819576411
68.4,0.270815846180633
70.2,0.242802291917393
72,0.21631611307966
73.8,0.191175017268361
75.6,0.167195002102887
77.4,0.144227584418621
79.2,0.122102507563057
81,0.100704491985183
82.8,7.98800675584253E-02
84.6,5.95186060732149E-02
86.4,3.94936490756361E-02
88.2,1.96908704571949E-02
